Vehículo;Nombres personalizados;Fecha de Recepción;Valor;Unidades
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:07:24;1.15;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:08:24;1.15;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:09:24;5;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:10:24;1.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:11:24;1.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:12:24;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:13:24;6.25;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:14:24;7;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:15:24;6.7;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:16:24;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:17:24;1.55;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:18:24;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:19:24;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:20:24;22.9;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:21:24;1.55;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:22:24;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:23:24;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:24:24;46.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:25:24;1.5;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:26:24;6.1;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:27:24;3.25;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:28:24;6.05;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:29:25;4.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:30:25;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:31:25;30.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:32:25;5.1;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:33:25;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:34:25;10.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:35:25;1.65;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:36:25;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:37:25;1.15;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:38:25;6.2;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:39:25;1.6;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:40:25;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:41:25;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:42:25;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:43:25;1.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:44:25;2;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:45:25;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:46:25;4.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:47:25;1.15;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:48:25;1.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:49:25;3.7;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:50:25;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:51:25;1.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:52:25;1.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:53:25;1.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:54:25;1.5;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:55:25;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:56:25;1.2;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:57:25;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:58:25;2.65;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 17:59:25;1.2;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:00:25;2.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:01:25;1.5;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:02:25;1.55;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:03:25;2.55;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:04:25;1.8;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:05:25;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:06:25;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:07:25;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:08:25;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:09:44;1.65;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:10:44;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:11:44;1.65;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:12:44;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:13:44;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:14:44;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:16:25;1.6;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:17:25;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:18:25;8.1;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:19:25;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:20:25;1.55;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:21:25;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:22:25;1.15;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:23:26;1.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:24:26;2.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:25:26;1.5;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:26:26;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:27:26;0.55;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:28:26;4.05;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:29:26;1.25;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:30:26;1.45;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:31:26;3.2;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:32:26;1.25;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:33:26;1.25;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:34:26;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:35:26;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:36:26;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:37:26;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:38:26;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:39:26;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:40:26;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:41:26;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:42:26;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:43:26;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 18:44:28;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:19:50;1.45;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:20:50;1.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:21:50;1.45;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:22:50;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:23:50;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:24:50;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:25:50;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:38:27;1.75;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:39:26;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:40:26;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:41:26;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:42:26;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:44:26;1.15;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:45:26;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:46:27;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:47:27;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:48:27;1.15;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:49:26;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:50:26;7.2;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:51:27;1.45;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:52:27;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:53:27;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:54:26;1.2;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 19:55:26;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:09:34;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:12:40;1.65;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:13:39;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:30:16;1.85;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:31:16;1.25;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:32:16;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:33:16;5;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:34:16;5.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:35:16;5.15;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:36:16;11.75;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:37:16;1.75;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:38:17;1.45;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:39:16;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:40:17;1.45;L/hr
